name,position,era,speed,dribbling,shooting,defense,physical,iq,team
Gianlluigi Buffon,CM,2018,79,83,74,65,91,95,Bayern Munich
Sandro Mazzola,GK,2014,71,55,29,98,93,89,AC Milan
Antony,ST,2014,93,94,87,29,80,85,Bayern Munich
Philippe Coutinho,CM,2018,79,92,72,62,81,80,Barcelona
Leonardo Bonucci,RB,2006,82,78,56,87,98,97,Manchester United
Mikaël Silvestre,CM,2004,84,79,87,76,81,86,Juventus
Sandro,RB,2006,82,70,53,98,86,78,Barcelona
Valeriy Lobanovskyi,CM,2018,84,70,76,76,89,97,Real Madrid
Hennes Weisweiler,LW,2014,96,84,84,27,98,94,Chelsea
Juan Cuadrado,RB,2006,90,68,57,85,77,85,Barcelona
Ray Clemence,RB,2018,81,66,61,89,76,98,Barcelona
Steve Heighway,RB,2018,76,75,68,95,86,94,Inter Milan
Xavi Hernández,LW,2010,85,84,95,57,95,98,Inter Milan
Andrea Pirlo,ST,2004,94,94,85,51,79,83,AC Milan
Curtis Jones,CAM,2006,80,83,77,68,87,98,Manchester United
Rodrygo Goes,CDM,2010,81,80,84,75,85,91,AC Milan
Gennaro Gattuso,CM,2014,83,89,79,82,84,85,AC Milan
Romário,LB,2004,81,75,65,97,86,83,Liverpool
Cristian Benavente,CDM,2006,84,85,84,65,85,88,Juventus
Frank de Boer,LW,2014,91,76,89,40,83,92,AC Milan
Florian Thauvin,CM,2006,93,76,72,79,83,80,Manchester United
João Moutinho,CB,2006,86,65,58,89,95,97,Liverpool
Marco Verratti,GK,2018,74,34,41,89,80,81,AC Milan
Bruno Alves,GK,2010,75,33,45,93,92,89,Liverpool
Jerome Boateng,LW,2004,91,93,93,47,78,78,Napoli
Christian Vieri,CAM,2022,85,75,77,60,94,87,AC Milan
Bruno Fernandes,GK,2022,75,33,28,97,96,78,Barcelona
Iker Casillas,CAM,2010,92,92,75,68,78,86,Inter Milan
Andy Robertson,ST,2018,87,83,90,39,79,84,Arsenal
David Beckham,LW,2014,94,83,93,26,83,83,Paris SG
Nílton,CAM,2018,84,81,71,72,82,83,Liverpool
Francesco Totti,CAM,2018,85,71,85,84,75,84,Napoli
Anthony Martial,CAM,2014,94,85,67,70,89,98,Napoli
Adriano Correia,GK,2022,74,40,26,97,79,95,Bayern Munich
Roger Milla,CDM,2022,89,90,80,75,92,92,Inter Milan
Edinson Cavani,CAM,2014,81,71,68,66,83,90,Chelsea
Lucas Paquetá,CM,2010,81,72,67,84,83,97,Juventus
Fernandinho,RB,2022,79,60,49,92,86,90,Manchester United
Raphaël Varane,CDM,2010,81,78,82,66,86,92,Arsenal
Andriy Shevchenko,RB,2004,90,61,45,88,77,81,Juventus
John Toshack,CDM,2010,85,78,72,73,94,96,Manchester United
Sylvain Wiltord,CM,2004,87,70,76,85,86,98,Inter Milan
