name,position,era,speed,dribbling,shooting,defense,physical,iq,team
Andres Iniesta,LB,2022,83,77,58,92,77,89,Napoli
Milla Roger,CB,2010,76,71,60,85,84,80,Real Madrid
Maradona Diego,CAM,2014,87,71,70,76,80,95,Paris SG
Maarten Stekelenburg,CM,2010,80,91,84,77,83,90,Manchester United
Eder Militao,LB,2018,84,61,59,98,77,92,Manchester United
Ryan Giggs,CM,2010,90,76,82,82,91,88,AC Milan
Raphaël Varane,LW,2014,94,91,96,30,79,88,Liverpool
Bobby Charlton,GK,2014,78,34,38,93,79,97,Real Madrid
Edwin van der Sar,ST,2006,89,80,98,46,80,80,Paris SG
Dimitri Payet,LB,2006,80,60,49,97,98,89,Barcelona
Kylian Mbappé,CDM,2022,82,71,66,82,94,78,Paris SG
Javi Martinez,CDM,2010,87,78,82,77,89,85,Barcelona
Bruno Guimaraes,CDM,2022,90,79,77,62,92,84,Liverpool
Abdessalem Ayouni,CB,2006,83,67,46,94,91,82,Juventus
Jimmy Greaves,CAM,2006,82,79,72,62,89,97,Chelsea
Antony,CM,2010,92,78,81,63,91,85,Inter Milan
Ilkay Gündogan,CM,2010,78,74,71,79,81,83,Real Madrid
Didier Drogba,ST,2022,88,75,93,50,81,84,Barcelona
Cesc Fabregas,CM,2014,84,81,83,68,77,78,AC Milan
Branislav Ivanovic,LW,2014,93,86,90,36,75,92,Juventus
Miguel Borja,LB,2022,85,73,49,91,81,78,Juventus
Teddy Sheringham,CM,2014,90,84,66,67,82,89,Real Madrid
Alejandro Garnacho,CM,2022,90,85,77,71,77,91,Napoli
Éver Banega,LW,2018,96,86,88,55,98,80,Bayern Munich
Richarlison,CAM,2014,87,82,77,77,76,96,Manchester United
Lukas Podolski,GK,2018,78,52,24,91,82,91,Liverpool
Enzo Fernández,CM,2010,88,86,65,66,86,85,Liverpool
Mladen Krstajic,RB,2010,89,73,64,90,82,80,Napoli
Jonathan Calleri,LW,2022,82,85,91,31,76,82,Liverpool
Nicolas De La Cruz,CM,2022,81,81,69,85,83,85,Inter Milan
Jemerson,CB,2022,90,61,53,85,96,88,Real Madrid
Arjen Robben,CB,2022,85,66,52,85,98,81,Paris SG
Thierry Henry,RB,2010,75,76,56,95,83,90,AC Milan
Per Mertesacker,LB,2010,75,70,58,97,78,85,Manchester United
Wayne Rooney,CAM,2022,93,82,84,66,83,89,Manchester United
Frank Leboeuf,CAM,2014,89,82,80,81,94,83,Chelsea
Tim Cahill,CM,2018,88,92,80,64,82,79,Barcelona
Aleksandar Mitrović,GK,2018,71,43,37,89,98,79,Real Madrid
Gonzalo Higuain,LB,2010,85,71,51,99,98,97,Paris SG
Luka Modric,CB,2022,89,80,67,92,93,93,Arsenal
Villasanti Diego,CM,2022,78,82,79,81,85,94,Paris SG
Valentin Azmayev,CM,2022,81,72,85,82,77,94,Bayern Munich
Néstor Clausen,CDM,2010,84,75,84,62,91,98,Chelsea
