====================================================================================================
HERMANILAND FOOTBALL DRAFT GAME - PLAYER DATABASE
Complete roster of 7500 professional players from all eras
====================================================================================================

SOURCES:
- Football Legends (506 players from all eras)
- Champions League & Copa Libertadores (last 20 years, 319 players)
- World Cup squads (2006-2022, 499 players)
- Variants generated to reach 7500 total

POSITION DISTRIBUTION:
  CAM: 1000 ( 13.3%)
  CB:  667 (  8.9%)
  CDM: 1000 ( 13.3%)
  CM: 1000 ( 13.3%)
  GK:  502 (  6.7%)
  LB:  667 (  8.9%)
  LW:  998 ( 13.3%)
  RB:  668 (  8.9%)
  ST:  998 ( 13.3%)

====================================================================================================
COMPLETE PLAYER ROSTER
====================================================================================================

   1. Andres Iniesta                      | LB  | 2022 | SPD:83 DRB:77 SHO:58 DEF:92 PHY:77 IQ:89 | Napoli
   2. Milla Roger                         | CB  | 2010 | SPD:76 DRB:71 SHO:60 DEF:85 PHY:84 IQ:80 | Real Madrid
   3. Maradona Diego                      | CAM | 2014 | SPD:87 DRB:71 SHO:70 DEF:76 PHY:80 IQ:95 | Paris SG
   4. Maarten Stekelenburg                | CM  | 2010 | SPD:80 DRB:91 SHO:84 DEF:77 PHY:83 IQ:90 | Manchester United
   5. Eder Militao                        | LB  | 2018 | SPD:84 DRB:61 SHO:59 DEF:98 PHY:77 IQ:92 | Manchester United
   6. Ryan Giggs                          | CM  | 2010 | SPD:90 DRB:76 SHO:82 DEF:82 PHY:91 IQ:88 | AC Milan
   7. Raphaël Varane                      | LW  | 2014 | SPD:94 DRB:91 SHO:96 DEF:30 PHY:79 IQ:88 | Liverpool
   8. Bobby Charlton                      | GK  | 2014 | SPD:78 DRB:34 SHO:38 DEF:93 PHY:79 IQ:97 | Real Madrid
   9. Edwin van der Sar                   | ST  | 2006 | SPD:89 DRB:80 SHO:98 DEF:46 PHY:80 IQ:80 | Paris SG
  10. Dimitri Payet                       | LB  | 2006 | SPD:80 DRB:60 SHO:49 DEF:97 PHY:98 IQ:89 | Barcelona
  11. Kylian Mbappé                       | CDM | 2022 | SPD:82 DRB:71 SHO:66 DEF:82 PHY:94 IQ:78 | Paris SG
  12. Javi Martinez                       | CDM | 2010 | SPD:87 DRB:78 SHO:82 DEF:77 PHY:89 IQ:85 | Barcelona
  13. Bruno Guimaraes                     | CDM | 2022 | SPD:90 DRB:79 SHO:77 DEF:62 PHY:92 IQ:84 | Liverpool
  14. Abdessalem Ayouni                   | CB  | 2006 | SPD:83 DRB:67 SHO:46 DEF:94 PHY:91 IQ:82 | Juventus
  15. Jimmy Greaves                       | CAM | 2006 | SPD:82 DRB:79 SHO:72 DEF:62 PHY:89 IQ:97 | Chelsea
  16. Antony                              | CM  | 2010 | SPD:92 DRB:78 SHO:81 DEF:63 PHY:91 IQ:85 | Inter Milan
  17. Ilkay Gündogan                      | CM  | 2010 | SPD:78 DRB:74 SHO:71 DEF:79 PHY:81 IQ:83 | Real Madrid
  18. Didier Drogba                       | ST  | 2022 | SPD:88 DRB:75 SHO:93 DEF:50 PHY:81 IQ:84 | Barcelona
  19. Cesc Fabregas                       | CM  | 2014 | SPD:84 DRB:81 SHO:83 DEF:68 PHY:77 IQ:78 | AC Milan
  20. Branislav Ivanovic                  | LW  | 2014 | SPD:93 DRB:86 SHO:90 DEF:36 PHY:75 IQ:92 | Juventus
  21. Miguel Borja                        | LB  | 2022 | SPD:85 DRB:73 SHO:49 DEF:91 PHY:81 IQ:78 | Juventus
  22. Teddy Sheringham                    | CM  | 2014 | SPD:90 DRB:84 SHO:66 DEF:67 PHY:82 IQ:89 | Real Madrid
  23. Alejandro Garnacho                  | CM  | 2022 | SPD:90 DRB:85 SHO:77 DEF:71 PHY:77 IQ:91 | Napoli
  24. Éver Banega                         | LW  | 2018 | SPD:96 DRB:86 SHO:88 DEF:55 PHY:98 IQ:80 | Bayern Munich
  25. Richarlison                         | CAM | 2014 | SPD:87 DRB:82 SHO:77 DEF:77 PHY:76 IQ:96 | Manchester United
  26. Lukas Podolski                      | GK  | 2018 | SPD:78 DRB:52 SHO:24 DEF:91 PHY:82 IQ:91 | Liverpool
  27. Enzo Fernández                      | CM  | 2010 | SPD:88 DRB:86 SHO:65 DEF:66 PHY:86 IQ:85 | Liverpool
  28. Mladen Krstajic                     | RB  | 2010 | SPD:89 DRB:73 SHO:64 DEF:90 PHY:82 IQ:80 | Napoli
  29. Jonathan Calleri                    | LW  | 2022 | SPD:82 DRB:85 SHO:91 DEF:31 PHY:76 IQ:82 | Liverpool
  30. Nicolas De La Cruz                  | CM  | 2022 | SPD:81 DRB:81 SHO:69 DEF:85 PHY:83 IQ:85 | Inter Milan
  31. Jemerson                            | CB  | 2022 | SPD:90 DRB:61 SHO:53 DEF:85 PHY:96 IQ:88 | Real Madrid
  32. Arjen Robben                        | CB  | 2022 | SPD:85 DRB:66 SHO:52 DEF:85 PHY:98 IQ:81 | Paris SG
  33. Thierry Henry                       | RB  | 2010 | SPD:75 DRB:76 SHO:56 DEF:95 PHY:83 IQ:90 | AC Milan
  34. Per Mertesacker                     | LB  | 2010 | SPD:75 DRB:70 SHO:58 DEF:97 PHY:78 IQ:85 | Manchester United
  35. Wayne Rooney                        | CAM | 2022 | SPD:93 DRB:82 SHO:84 DEF:66 PHY:83 IQ:89 | Manchester United
  36. Frank Leboeuf                       | CAM | 2014 | SPD:89 DRB:82 SHO:80 DEF:81 PHY:94 IQ:83 | Chelsea
  37. Tim Cahill                          | CM  | 2018 | SPD:88 DRB:92 SHO:80 DEF:64 PHY:82 IQ:79 | Barcelona
  38. Aleksandar Mitrović                 | GK  | 2018 | SPD:71 DRB:43 SHO:37 DEF:89 PHY:98 IQ:79 | Real Madrid
