name,position,era,speed,dribbling,shooting,defense,physical,iq,team
Mats Hummels,GK,2006,77,32,22,97,85,81,Barcelona
Alexis Sanchez,RB,2018,82,74,47,85,95,91,Chelsea
Jackie Charlton,LW,2014,87,88,91,39,97,84,Real Madrid
Dayot Upamecano,CAM,2006,90,79,70,62,97,90,Juventus
Yuriel Celi,RB,2018,83,69,47,90,82,86,Barcelona
Lilian Thuram,LW,2014,90,92,82,50,90,94,Manchester United
Makoto Hasebe,LW,2014,90,80,97,31,82,92,Chelsea
Pau Torres,RB,2006,86,71,45,94,80,91,Chelsea
Carlos Tevez,CAM,2022,87,92,79,62,96,85,Paris SG
Sandro Mazzola,CDM,2010,90,73,65,68,85,95,Manchester United
Ben Chilwell,CAM,2022,94,78,70,72,84,84,Real Madrid
Nigel de Jong,LB,2014,77,68,56,92,92,86,Napoli
Tim Cahill,CM,2006,78,73,88,69,89,78,Manchester United
Steve Heighway,ST,2014,96,84,85,48,79,93,Paris SG
Michael Owen,GK,2010,70,46,45,91,91,95,Paris SG
Ricardo Quaresma,CDM,2014,90,90,82,70,77,93,Liverpool
Ronaldinho,CB,2022,84,72,66,87,95,88,Chelsea
Isco,ST,2022,87,84,91,54,78,84,Chelsea
Didier Drogba,ST,2010,86,82,85,58,79,78,Arsenal
Christian Vieri,CM,2010,88,72,81,69,75,86,Juventus
Rio Ferdinand,LW,2018,91,89,93,49,97,89,Liverpool
Raúl Meireles,LW,2014,90,88,90,44,77,93,Arsenal
Giorgian de Arrascaeta,CM,2022,93,78,86,65,76,79,Chelsea
Juan Pablo Sorín,LW,2014,94,82,94,52,82,94,AC Milan
Bruno Fernandes,CDM,2006,83,72,79,80,83,98,Bayern Munich
João Cancelo,CB,2014,87,71,52,86,85,79,Inter Milan
Nicolás Otamendi,CM,2018,89,82,84,83,75,81,Manchester United
Esteban Paredes,CDM,2022,89,75,65,70,85,89,Juventus
Ézequiel Garay,CM,2014,94,88,78,80,97,97,Chelsea
Fernandinho,CAM,2006,94,77,80,70,87,92,Juventus
Nery Pumpido,LB,2018,78,62,49,95,89,87,Liverpool
Benedikt Höwedes,RB,2006,77,70,64,86,86,94,Paris SG
Éric Abidal,CM,2022,85,80,65,81,97,82,Bayern Munich
Jorge Valdivia,CDM,2014,93,77,69,73,85,87,Inter Milan
Aleksandr Smertin,CAM,2006,80,83,85,61,80,96,Napoli
Frank Leboeuf,CM,2022,85,92,75,78,83,90,AC Milan
Rinus Michels,CM,2006,93,86,83,76,96,90,Paris SG
Papiss Cissé,CM,2010,92,88,70,64,86,93,Arsenal
Gennaro Gattuso,LW,2022,90,87,95,42,80,89,Inter Milan
Savo Milosevic,CM,2018,93,86,75,76,82,78,Juventus
Ousmane N'Doye,GK,2014,74,40,44,99,75,96,Real Madrid
Abedi Pele,LW,2010,86,75,85,35,92,91,Chelsea
Ulreich Sven,CM,2006,87,72,75,75,81,82,Inter Milan
Andy Robertson,CAM,2022,80,74,66,64,77,86,Manchester United
Fernando Gago,CDM,2014,80,84,70,70,96,82,Arsenal
Pablo Sarabia,ST,2014,87,94,85,48,82,80,Inter Milan
Álvaro Recoba,CB,2010,77,64,64,85,97,96,Barcelona
Arne Friedrich,ST,2006,89,95,84,35,86,78,Inter Milan
Brad Friedel,CDM,2014,83,74,75,64,98,83,Real Madrid
Luis Fernando Muriel,LB,2018,88,76,50,85,89,91,Juventus
Daniel Alves,ST,2022,92,89,84,56,81,98,Bayern Munich
Danilo Carrillo,ST,2022,94,83,87,50,86,80,Real Madrid
Luis Diaz,LB,2006,84,63,50,85,75,84,Juventus
Peter Shilton,LW,2022,82,88,98,46,96,95,Chelsea
Frank de Boer,CAM,2014,93,74,80,65,94,83,Real Madrid
Dirk Kuyt,ST,2018,88,83,86,25,86,98,Napoli
Nicolas Otamendi,LB,2018,84,80,50,86,88,95,Arsenal
Rivaldo,CM,2014,90,80,88,77,78,78,Manchester United
Florian Malouda,LB,2018,83,72,62,90,80,97,Inter Milan
Pascal Groß,CB,2014,77,76,66,86,94,98,Real Madrid
Karl-Heinz Förster,CM,2022,79,71,81,70,85,81,Real Madrid
Jackson Martinez,CAM,2006,86,88,81,75,80,84,Manchester United
Éver Banega,LW,2014,93,86,95,28,78,90,Manchester United
Sokratis,ST,2018,90,91,88,48,75,92,Arsenal
Youri Tielemans,CAM,2010,81,82,69,67,78,87,Liverpool
Pauleta,CAM,2010,94,89,75,68,87,87,AC Milan
