name,position,era,speed,dribbling,shooting,defense,physical,iq,team
Stanley Matthews,LW,2010,94,80,84,54,87,79,Chelsea
Medhi Benatia,LB,2018,88,72,51,95,85,88,Napoli
Paul Breitner,CB,2010,83,60,47,92,87,82,Juventus
Nílton,CM,2014,94,79,67,70,92,86,Bayern Munich
Jorginho,ST,2022,95,88,83,38,91,80,AC Milan
Hany Ramadan,GK,2006,77,54,25,91,77,86,Manchester United
Elías Figueroa,CDM,2014,82,85,80,65,84,88,Paris SG
Rivaldo,LW,2004,83,95,95,47,97,83,Napoli
Michael Essien,CDM,2022,88,82,73,70,76,79,Paris SG
Paul Scholes,CAM,2004,94,91,79,65,75,91,Liverpool
Diogo Jota,CB,2022,85,73,66,90,88,93,Juventus
Fabio Cannavaro,CAM,2010,78,85,86,65,97,90,Bayern Munich
David de Gea,ST,2018,93,75,89,39,88,82,Bayern Munich
Aleksandr Smertin,CDM,2022,87,76,77,76,78,98,AC Milan
Achraf Hakimi,CB,2018,78,74,62,96,83,93,Inter Milan
John Terry,CAM,2014,91,76,74,75,76,95,Bayern Munich
Cristian Benavente,CDM,2010,94,92,79,70,89,88,AC Milan
Pepe,CM,2018,91,78,75,72,93,98,Liverpool
Rúben Neves,RB,2022,78,78,63,99,87,81,Napoli
Kingsley Coman,CB,2022,90,65,70,87,78,85,Real Madrid
Florian Thauvin,ST,2014,94,81,83,50,80,95,Real Madrid
Samir Nasri,CM,2006,87,82,75,60,86,94,Manchester United
Raí,CM,2018,82,91,83,67,80,96,Real Madrid
Uli Hoeness,ST,2004,94,79,82,39,91,88,Chelsea
Jordan Ayew,CDM,2014,85,82,87,60,98,78,Arsenal
Andy Cole,ST,2018,96,88,84,31,79,82,Real Madrid
Mikaël Silvestre,LW,2014,85,83,89,38,86,93,Arsenal
Mariano Díaz,RB,2018,88,69,61,98,90,82,Manchester United
Steven Pienaar,CDM,2014,84,72,69,82,96,82,AC Milan
Lilian Thuram,LW,2018,96,79,82,53,81,87,Napoli
Franck Ribéry,LB,2004,81,63,69,99,87,88,Chelsea
Ernst Happel,GK,2010,70,37,22,91,85,91,Juventus
Rodri,CDM,2018,82,71,68,83,93,85,Bayern Munich
Jaime Moreno,GK,2014,81,40,21,96,96,91,Bayern Munich
Sandro Mazzola,LW,2006,89,94,84,38,75,97,Napoli
Lucas Hernández,CDM,2006,92,88,74,74,89,81,Inter Milan
Reece James,LW,2018,93,94,88,44,85,89,Inter Milan
Danilo,ST,2004,87,77,85,50,97,89,Manchester United
Sander Westerveld,CDM,2004,89,74,76,70,94,83,Juventus
Giorgio Chiellini,LB,2018,80,80,59,94,78,98,Paris SG
Paolo Guerrero,ST,2018,82,94,84,52,97,93,Juventus
Francesco Totti,RB,2014,90,72,46,85,83,79,Bayern Munich
Luis Suárez,GK,2006,77,55,41,96,94,85,Chelsea
Leonardo Bonucci,ST,2004,84,94,97,50,78,89,Arsenal
Kevin Keegan,CAM,2014,90,82,81,71,85,80,Chelsea
Lionel Messi,RB,2010,76,67,53,97,76,85,AC Milan
Neymar,LW,2004,93,85,95,60,75,98,AC Milan
Bastian Schweinsteiger,CB,2022,90,76,64,91,93,98,Chelsea
Naohiro Takahara,CDM,2010,78,76,74,72,78,79,Arsenal
Curtis Jones,LW,2004,87,89,93,54,94,92,AC Milan
Juan Foyth,CDM,2006,88,72,70,84,91,82,Juventus
Ian Callaghan,CB,2022,89,70,68,94,83,97,Liverpool
Nicolas Anelka,LB,2004,85,76,53,87,77,97,Bayern Munich
Gianlluigi Buffon,ST,2010,84,81,95,55,90,94,Inter Milan
Teddy Sheringham,CAM,2018,83,77,65,76,80,82,Barcelona
Andrés Iniesta,LW,2004,88,76,86,25,94,82,Inter Milan
Arturo Vidal,LW,2004,82,79,89,51,83,87,Napoli
Patrice Evra,LW,2018,85,77,94,56,89,91,Chelsea
Christian Vieri,LB,2022,78,80,51,96,98,85,Paris SG
Nahuel Molina,LB,2004,87,61,55,96,78,82,Arsenal
Jackson Martínez,CDM,2004,89,89,75,65,87,90,Liverpool
Shinji Ono,LW,2014,95,91,96,33,88,97,Liverpool
Senad Lulic,LB,2014,89,78,60,95,89,89,Inter Milan
Julián Álvarez,LB,2018,87,80,54,85,79,90,Manchester United
Ivan Varadin,CAM,2014,92,85,71,72,75,93,Juventus
Cristian Romero,LW,2006,95,83,92,53,77,88,Manchester United
Steve Mandanda,CDM,2018,94,88,84,63,85,90,Liverpool
Mark Lawrenson,RB,2022,75,62,50,86,78,94,Real Madrid
Oleksiy Khomov,CDM,2018,87,85,83,81,91,91,Manchester United
Essam El-Hadary,CAM,2018,82,71,71,67,85,80,Real Madrid
Jordan Henderson,CAM,2018,82,86,66,78,82,78,Liverpool
Kepa Arrizabalaga,CB,2006,83,64,66,86,83,83,Barcelona
Douglas Costa,LB,2022,81,71,52,85,80,81,Real Madrid
Jorge Valdivia,ST,2018,90,81,86,45,93,91,Barcelona
Ruud Gullit,CM,2010,87,73,79,76,80,94,Chelsea
Cicinho,GK,2004,79,52,28,96,91,89,Liverpool
Asamoah Gyan,ST,2022,92,83,86,52,82,78,Liverpool
Iker Casillas,CB,2022,86,65,50,97,93,92,Arsenal
Bernardo Silva,LW,2014,91,82,98,31,76,85,Napoli
Kovalenko,CB,2010,78,66,61,94,86,98,Manchester United
Diego Costa,ST,2010,90,88,82,48,78,89,Napoli
James Milner,GK,2010,70,54,39,90,79,85,Chelsea
Berti Vogts,GK,2022,80,36,43,88,84,95,Chelsea
Romário,ST,2010,87,90,95,37,80,83,Arsenal
Trevor Brooking,CB,2014,90,79,65,91,76,91,Inter Milan
Álvaro Morata,GK,2006,70,30,38,88,89,78,Napoli
Kenny Dalglish,CDM,2010,88,91,83,67,77,79,Paris SG
Juan Riquelme,LW,2006,84,78,96,46,89,84,Paris SG
Holger Badstuber,CAM,2010,88,75,86,64,94,85,Liverpool
Bobby Charlton,CB,2010,85,60,62,93,80,79,Bayern Munich
Andrey Arshavin,GK,2010,71,34,29,99,89,91,Manchester United
Ben Chilwell,ST,2014,84,78,88,54,93,84,Barcelona
Kyle Walker,ST,2004,92,87,87,39,84,95,Inter Milan
Harvey Elliott,GK,2010,74,43,32,88,87,84,Inter Milan
Ben Youssef,CB,2014,84,76,70,96,80,81,Napoli
Andrea Pirlo,RB,2022,77,63,46,85,78,97,Manchester United
Emiliano Martínez,CDM,2022,84,92,73,84,89,98,Napoli
Riyad Mahrez,ST,2004,82,94,92,57,76,87,Barcelona
DaMarcus Beasley,ST,2006,87,95,87,49,93,82,AC Milan
Carles Puyol,ST,2018,86,75,91,25,85,90,Paris SG
Karim Benzema (France),RB,2006,81,60,68,94,93,96,Paris SG
Sepp Maier,CDM,2022,79,90,84,76,78,95,Paris SG
Bukayo Saka,ST,2004,90,89,89,39,95,83,Liverpool
Paolo Maldini,LW,2006,88,80,85,35,91,95,Liverpool
Laurent Blanc,ST,2004,86,91,83,37,98,95,Liverpool
Evans Sabwe,LB,2006,78,77,52,85,95,80,Juventus
Frederic Kanoute,CB,2022,75,73,46,98,96,82,AC Milan
Dwight Yorke,CM,2018,85,86,82,75,97,88,Paris SG
José Fonte,CDM,2018,79,71,81,77,77,82,Chelsea
Bruno Alves,CM,2014,92,90,68,65,78,87,Chelsea
Claudio Bravo,LB,2004,78,65,51,88,91,86,Real Madrid
Jordi Alba,LW,2018,93,76,95,49,88,80,Juventus
Nwankwo Kanu,CM,2006,83,74,78,61,83,91,Chelsea
Ricardo Quaresma,ST,2010,91,79,91,44,79,90,Bayern Munich
Neymar Jr,CDM,2010,83,72,74,83,89,87,Barcelona
Dentinho,CAM,2010,90,89,69,71,88,98,Barcelona
Hidetoshi Nakata,LW,2014,82,91,85,53,90,81,Manchester United
Kazuyoshi Miura,LW,2004,88,91,95,43,93,87,Real Madrid
John Toshack,RB,2014,80,62,51,96,85,93,Napoli
Zlatan Ibrahimović,GK,2022,74,43,26,92,98,86,Arsenal
Mason Mount,CM,2022,87,80,68,80,80,88,Paris SG
Juan Arango,CDM,2004,92,73,72,80,76,82,Napoli
Riadh Ben Belgacem,CAM,2004,88,80,78,72,97,81,Arsenal
Steve McManaman,GK,2010,80,32,33,98,96,90,Barcelona
João Cancelo,CAM,2014,84,90,67,81,88,95,Manchester United
Serge Aurier,CM,2014,84,83,79,64,75,95,Real Madrid
Phil Foden,LW,2004,87,92,89,28,85,96,Inter Milan
Lukas Podolski,LB,2014,90,62,47,91,82,81,Inter Milan
Wesley Sneijder,CDM,2014,78,87,69,75,77,84,Barcelona
Jay DeMerit,CAM,2014,84,71,75,83,77,78,Manchester United
Juan Román Riquelme,CDM,2004,89,73,72,69,77,94,Bayern Munich
John Wark,CB,2006,81,73,48,97,91,79,Juventus
Ruben Dias,LW,2006,91,89,90,59,96,96,Manchester United
Alan Hansen,CDM,2010,89,85,68,74,84,97,Inter Milan
Bruno Fernandes,LB,2006,80,60,49,96,77,95,Manchester United
Andrea Barzagli,LW,2010,94,84,88,49,94,92,Barcelona
Barry Davies,CDM,2014,85,78,79,83,98,93,Bayern Munich
Juan Manuel Ibarbo,LB,2006,77,76,52,94,93,93,Chelsea
Lisandro Martínez,LB,2006,85,69,46,89,80,88,Napoli
Edinson Cavani,ST,2014,87,80,97,47,77,98,Juventus
Daniele De Rossi,LW,2004,88,95,85,55,97,82,Manchester United
Sergio Agüero,CAM,2010,78,76,75,63,79,92,Chelsea
