name,position,era,speed,dribbling,shooting,defense,physical,iq,team
Cristian Benavente,ST,2006,87,94,82,58,89,80,Inter Milan
Gabriel Magalhães,CB,2022,77,68,57,94,98,95,Barcelona
Aaron Wan-Bissaka,LW,2010,86,84,90,34,82,92,Liverpool
Jorginho,ST,2006,85,80,95,46,76,95,Arsenal
Fabinho,RB,2018,80,79,47,85,98,88,Arsenal
Sergio Busquets,LB,2010,75,72,64,88,78,98,Paris SG
Andy Cole,CAM,2004,90,72,71,66,88,82,Bayern Munich
Teófilo Cubillas,ST,2006,94,86,86,32,94,83,Barcelona
Ruben Dias,CB,2018,79,65,68,92,80,92,Bayern Munich
Maicon,CDM,2022,89,91,76,74,84,83,Chelsea
Hidetoshi Nakata,CB,2010,84,72,67,93,90,91,Juventus
Andrey Arshavin,GK,2018,80,55,40,99,81,83,Liverpool
Benjamin Pavard,RB,2014,80,76,60,90,94,93,AC Milan
Fernandinho,CAM,2006,86,91,82,77,80,96,Napoli
Kazuyoshi Miura,LB,2018,80,68,47,91,89,96,Paris SG
Eric Cantona,CM,2022,81,90,74,61,92,94,Bayern Munich
Gonzalo Montiel,CM,2010,78,86,72,72,78,87,Chelsea
Giorgian Meladze,CAM,2022,85,85,74,65,90,78,Paris SG
Alexis Mac Allister,RB,2004,90,69,48,93,95,83,Juventus
Frank Leboeuf,CM,2006,83,89,74,78,86,80,Napoli
Nicolás Otamendi,CAM,2014,89,90,87,74,93,79,Chelsea
Claudio Marchisio,CDM,2014,91,70,83,65,98,88,Arsenal
Steve Mandanda,CAM,2018,91,75,80,85,92,91,Real Madrid
Ángel Di María,ST,2010,93,90,96,47,86,98,Napoli
Pedro,CM,2014,87,82,69,82,86,96,Juventus
Sepp Maier,GK,2010,82,44,35,95,96,84,Liverpool
Sergei Ignashevich,LB,2022,76,71,65,93,93,90,Napoli
Francesco Totti,LB,2022,84,80,65,96,95,81,Real Madrid
David Luiz,CM,2014,82,79,73,77,96,95,Napoli
Kenny Dalglish,CM,2014,94,72,71,80,91,91,Juventus
Dirk Kuyt,CAM,2006,82,78,84,69,91,90,Barcelona
Kylian Mbappé,CM,2004,79,89,79,83,85,93,Manchester United
Andrés Iniesta,ST,2010,95,75,97,25,88,84,Paris SG
Nicolas De La Cruz,LW,2004,93,86,95,26,79,86,Napoli
Ronaldo,CM,2004,88,92,79,65,85,97,Liverpool
Lilian Thuram,CDM,2014,84,80,66,78,96,91,Inter Milan
Lionel Messi,LB,2022,85,79,65,87,81,94,Paris SG
Luis García,CB,2022,85,72,63,88,82,98,Bayern Munich
Marco Verratti,LB,2004,87,62,59,97,80,92,Real Madrid
Wim Kieft,CDM,2014,91,90,75,65,95,95,Inter Milan
Arjen Robben,CM,2006,94,77,69,73,81,88,Liverpool
Romário,CM,2004,85,72,66,72,90,88,AC Milan
Kyle Walker,ST,2018,82,86,95,51,77,85,Liverpool
Andy Robertson,LW,2018,86,88,96,29,83,95,Arsenal
Kaka,CDM,2018,89,88,88,61,92,91,Bayern Munich
Gattuso Gennaro,CB,2022,90,62,47,92,89,90,Manchester United
Enzo Fernández,CAM,2014,92,78,69,81,81,94,Real Madrid
Karim Benzema,LW,2010,93,87,90,57,84,79,Arsenal
Erling Haaland,CAM,2018,81,85,72,75,82,85,Bayern Munich
Ibrahimović Zlatan,GK,2018,81,48,44,99,75,84,Chelsea
Curtis Jones,LB,2018,79,78,53,91,83,81,AC Milan
Paul Pogba,ST,2006,92,92,96,37,90,94,Inter Milan
Alessandro Nesta,CB,2004,88,67,62,92,91,85,Barcelona
Sergio Livingstone,RB,2004,86,80,53,91,93,80,Liverpool
Samuel Eto'o,GK,2018,79,34,22,95,79,98,Chelsea
Michu,GK,2004,74,37,39,90,88,83,Real Madrid
John Wark,GK,2018,79,42,22,88,93,82,Bayern Munich
Ernst Happel,CM,2010,88,72,76,72,78,90,Paris SG
David Silva,LW,2014,90,95,86,41,83,98,Liverpool
Fabrice Barthez,CB,2006,87,64,67,90,82,82,Bayern Munich
Antonio Rudiger,CDM,2010,85,79,78,80,75,81,Barcelona
Fred,RB,2010,90,67,61,91,98,82,Napoli
Achraf Hakimi,ST,2010,82,89,90,47,81,83,Barcelona
Youri Tielemans,GK,2006,73,35,31,92,87,86,Liverpool
Bruno Alves,CAM,2022,84,83,83,83,85,93,Inter Milan
Lukas Podolski,CM,2004,81,70,68,62,79,93,Paris SG
Pepe,LB,2006,87,63,70,93,92,92,AC Milan
Jerome Boateng,CB,2004,81,73,47,98,82,88,Barcelona
Shinji Ono,CDM,2014,80,72,70,79,89,90,Paris SG
Juan Cuadrado,RB,2006,79,74,65,97,92,96,Liverpool
David de Gea,CDM,2004,86,78,81,75,78,97,Chelsea
Cristian Romero,RB,2006,87,78,46,85,79,80,Barcelona
Dennis Bergkamp,CAM,2022,79,92,69,68,85,95,Chelsea
Douglas Costa,CM,2018,92,71,69,63,84,82,Napoli
Mohamed Salah,CM,2018,94,81,87,75,75,80,Juventus
Robert Lewandowski,CAM,2018,84,77,83,75,90,78,Bayern Munich
Ricardo Quaresma,LB,2018,86,72,59,93,89,95,Inter Milan
Gianluca Zambrotta,CDM,2006,80,89,87,75,88,78,AC Milan
Gianluigi Buffon,RB,2010,78,73,56,96,92,86,Barcelona
Vinicius Jr,CAM,2018,82,92,70,84,89,83,Bayern Munich
Jefferson Farfán,LB,2004,89,74,68,97,84,83,AC Milan
Mattia De Sciglio,CM,2004,87,86,74,62,83,82,Napoli
Harvey Elliott,LW,2004,83,80,93,59,85,94,Juventus
Robinho,CM,2014,84,75,87,71,89,96,Bayern Munich
Luke Shaw,RB,2022,88,67,59,94,90,86,Inter Milan
Antony,GK,2010,75,41,33,91,84,91,Inter Milan
Kevin Keegan,LW,2010,85,91,90,57,89,90,Chelsea
Sandro Mazzola,GK,2014,81,45,24,88,78,84,Arsenal
Hugo Lloris,ST,2018,90,77,96,51,77,93,AC Milan
Xherdan Shaqiri,CM,2018,89,79,88,63,88,93,Chelsea
Toni Kroos,RB,2004,82,77,61,94,96,81,Barcelona
Diogo Jota,LW,2004,87,88,86,26,94,90,Paris SG
José Luis Chilavert,CM,2004,82,91,86,74,82,88,Napoli
Carlos Tévez,CAM,2006,83,84,66,66,93,95,Arsenal
Gilberto Silva,ST,2010,87,92,88,30,75,92,Paris SG
Pirlo Andrea,CAM,2022,92,85,66,65,84,90,Manchester United
Mark Hughes,ST,2014,92,83,90,36,77,88,Chelsea
Salvador Cabañas,CB,2010,75,62,65,93,93,98,Inter Milan
Alexis Sánchez,CAM,2010,80,86,68,67,93,90,Barcelona
Karl-Heinz Förster,ST,2014,91,75,94,45,86,83,AC Milan
Nacho Fernández,RB,2018,83,62,46,89,75,90,Arsenal
Joshua Kimmich,LB,2018,78,69,47,92,91,80,Paris SG
Bastian Schweinsteiger,RB,2014,85,69,61,87,87,85,Manchester United
Dedryck Boyata,RB,2010,90,62,59,86,80,83,Real Madrid
Bruno Guimaraes,ST,2010,82,77,84,59,78,90,Arsenal
Anthony Martial,CB,2004,83,71,70,96,77,81,Chelsea
Hans-Jürgen Cramer,CAM,2004,83,70,73,81,78,87,Arsenal
Bixente Lizarazu,CB,2006,80,74,50,99,92,95,Liverpool
Alisson Becker,CB,2014,87,67,57,91,83,97,Paris SG
Gonzalo Higuaín,ST,2022,96,82,94,39,85,90,Napoli
Paul Scholes,CAM,2022,90,90,82,68,91,85,Bayern Munich
Claudio Pizarro,LW,2018,86,87,93,52,88,86,Paris SG
Joel Matip,CM,2010,86,74,68,82,75,78,Manchester United
Rivaldo,RB,2004,78,70,50,98,90,94,Paris SG
